stn_code,state,location,type,so2,no2,spm,Date
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.9,14.1,133,01-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,5.6,11.8,82,02-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.3,19.3,111,03-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.9,8.2,118,04-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",3.5,12.1,135,05-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,7.9,10.2,80,06-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4,9.9,179,07-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,12.4,11.5,58,08-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",4,12.3,99,09-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",6.3,11.5,270,10-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,44.8,13.7,97,11-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",8.1,17.8,167,12-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.7,11.3,145,13-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,20.6,13.6,75,14-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",20.4,27.5,212,15-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",13.9,7.2,93,16-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,11.2,18.6,61,17-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",22.3,35.9,255,18-01-2015
152,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",24.5,28,197,19-01-2015
150,Andhra Pradesh,Hyderabad,"Residential, Rural and other Areas",7.2,10.4,148,20-01-2015
151,Andhra Pradesh,Hyderabad,Industrial Area,28.7,16.2,77,21-01-2015
